material,Z,r,V,p_int,q_int,recon,dissoc
carbon,6,1.1072043010752688,4.8274475032889940609344264761460208356903073013914657105750645857483317225567053E-19,0,0,0E-79,0
carbon,6,1.1087096774193548,4.7819525346302468113687976582285649075249964178317619894554785680802021763687521E-19,0,0,0E-79,0
carbon,6,1.110215053763441,4.7367748461112610749483267375069947581898883049427783954071863496032833728894250E-19,0,0,0E-79,0
carbon,6,1.111720430107527,4.6919127548301671067730957499690929892188016394176485403298292288003413768887991E-19,0,0,0E-79,0
carbon,6,1.113225806451613,4.6473645860393630654138909776719199086337363069694857713746407866858359685457433E-19,0,0,0E-79,0
carbon,6,1.114731182795699,4.6031286731075078900691850483042469786370901393277817148555117684423370792000031E-19,0,0,0E-79,0
carbon,6,1.116236559139785,4.5592033574816583763365281768768654157588931684954752444751177745559645081537741E-19,0,0,0E-79,0
carbon,6,1.117741935483871,4.5155869886495857558227959617986277541468208691775190494551818627459748083046845E-19,0,0,0E-79,0
carbon,6,1.1192473118279571,4.4722779241022621013527604303952382458687337498930046615380752535244248525425171E-19,0,0,0E-79,0
carbon,6,1.120752688172043,4.4292745292965358406287350280832748884730444283512531040141528322764565764034402E-19,0,0,0E-79,0
