file,lines,size,readmem_count,max_reg_index,has_real,has_float,fp_string_count
"hardware/common/rtl/mem/HAL_SDRAM_Winbond.v",179,6287,0,15,0,0,0
"hardware/common/rtl/mem/spu_dma_manifold.v",78,2447,0,22,0,0,0
"hardware/common/rtl/mem/spu_laminar_ram.v",25,781,0,0,0,0,0
"hardware/common/rtl/mem/spu_fractal_compressor.v",78,2721,0,23,0,0,0
"hardware/common/rtl/mem/spu_psram_dual.v",113,3945,0,0,0,0,0
"hardware/common/rtl/mem/spu_mem_bridge_sdram.v",301,13587,0,15,0,0,0
"hardware/common/rtl/mem/spu_mem_bridge_ddr3.v",395,17542,0,15,1,0,0
"hardware/common/rtl/mem/spu_sdram_arbiter.v",105,5176,0,0,0,0,0
"hardware/common/rtl/spu_artery_tx.v",54,2269,0,63,0,0,0
"hardware/common/rtl/graphics/spu_rasterizer.v",84,3857,0,31,0,0,0
"hardware/common/rtl/graphics/spu_bresenham_killer.v",191,8074,0,15,0,0,0
"hardware/common/rtl/graphics/spu_hal_vga.v",102,3416,0,9,0,0,0
"hardware/common/rtl/graphics/spu_hal_cartesian.v",226,10036,0,15,0,0,0
"hardware/common/rtl/graphics/spu_fragment_pipe.v",64,2784,0,127,0,1,0
"hardware/common/rtl/graphics/spu_affine_raster.v",30,1343,0,0,0,0,0
"hardware/common/rtl/graphics/spu_harmonic_vis.v",52,1959,0,5,0,0,0
"hardware/common/rtl/graphics/spu_hal_vector.v",37,1060,0,11,0,0,0
"hardware/common/rtl/graphics/spu_lithic_overlay.v",73,2603,0,23,0,0,0
"hardware/common/rtl/graphics/HAL_Native_Hex.v",141,6069,0,7,0,0,0
"hardware/common/rtl/graphics/spu_synergetic_buffer.v",90,3075,0,24,0,0,0
"hardware/common/rtl/graphics/vector_to_parabola.v",42,1799,0,15,0,0,0
"hardware/common/rtl/graphics/spu_oled_visualizer.v",68,2339,0,15,0,0,0
"hardware/common/rtl/graphics/spu_ssd1306_driver.v",173,6501,0,7,0,0,0
"hardware/common/rtl/graphics/spu_eink_waveshare_driver.v",91,2930,0,15,0,0,0
"hardware/common/rtl/graphics/spu_manifold_mirror.v",83,2810,0,255,0,0,0
"hardware/common/rtl/graphics/spu_sierpinski_nav.v",22,866,0,0,0,0,0
"hardware/common/rtl/graphics/spu_sdf_edge.v",208,8931,0,31,0,0,0
"hardware/common/rtl/graphics/spu_gpu_top.v",350,12107,0,15,0,0,0
"hardware/common/rtl/graphics/spu_vram_controller.v",61,1929,0,15,0,0,0
"hardware/common/rtl/graphics/spu_spread_mul.v",55,2698,0,0,0,0,0
"hardware/common/rtl/graphics/spu_purify.v",103,4334,0,9,0,0,0
"hardware/common/rtl/graphics/spu_triple_quad.v",38,1557,0,0,0,0,0
"hardware/common/rtl/graphics/spu_triple_spread.v",42,1596,0,0,0,0,0
"hardware/common/rtl/bio/spu_fluid_solver.v",55,1903,0,831,0,0,0
"hardware/common/rtl/bio/spu_bio_pulse.v",40,1090,0,7,0,0,0
"hardware/common/rtl/bio/spu_bio_gateway.v",32,930,0,15,0,0,0
"hardware/common/rtl/bio/spu_bio_filter.v",26,758,0,0,0,0,0
"hardware/common/rtl/bio/spu_active_inference.v",63,2671,0,127,0,0,0
"hardware/common/rtl/bio/spu_hardware_inference.v",49,1819,0,31,0,0,0
"hardware/common/rtl/bio/spu_resonance_gen.v",85,3080,0,23,0,0,0
"hardware/common/rtl/bio/spu_soul_metabolism.v",100,3701,0,255,0,0,0
"hardware/common/rtl/bio/spu13_anneal_stabilizer.v",43,1864,0,11,0,0,0
"hardware/common/rtl/bio/spu_annealer.v",32,1205,0,12,0,0,0
"hardware/common/rtl/bio/spu_proprioception.v",56,1981,0,831,0,0,0
"hardware/common/rtl/bio/spu_viscosity_monitor.v",47,1857,0,7,0,0,0
"hardware/common/rtl/bio/spu_geometry_fluidizer.v",21,726,0,11,0,0,0
"hardware/common/rtl/bio/spu_thermal_entropy.v",25,924,0,63,0,0,0
"hardware/common/rtl/bio/spu_qfs_pour.v",105,3924,0,31,0,0,0
"hardware/common/rtl/bio/spu_dream_log.v",80,2491,0,31,0,0,0
"hardware/common/rtl/bio/spu_soul_snapper.v",74,2256,0,255,0,0,0
"hardware/common/rtl/bio/spu_metabolic_sense.v",30,1097,0,15,0,0,0
"hardware/common/rtl/io/spu_chord_rx.v",99,3172,0,15,0,0,0
"hardware/common/rtl/io/surd_uart_tx.v",84,2565,0,63,0,0,0
"hardware/common/rtl/io/spu_io_bridge.v",86,2659,0,0,0,0,0
"hardware/common/rtl/io/spu_adc_bridge.v",31,1159,0,31,0,0,0
"hardware/common/rtl/io/spu_serial_davis_gate.v",78,2259,0,31,0,0,0
"hardware/common/rtl/io/spu_sd_controller.v",109,3736,0,127,1,0,0
"hardware/common/rtl/io/spu_artery.v",22,1015,0,0,0,0,0
"hardware/common/rtl/io/spu_artery_phy.v",20,918,0,0,0,0,0
"hardware/common/rtl/io/spu_niche_logic.v",20,721,0,1,0,0,0
"hardware/common/rtl/io/spu_hard_stop.v",31,1050,0,255,0,0,0
"hardware/common/rtl/io/spu_laminar_reset.v",29,925,0,15,0,0,0
"hardware/common/rtl/io/spu_input_sync.v",27,609,0,0,0,0,0
"hardware/common/rtl/io/spu_sensor_bank.v",49,1475,0,31,0,0,0
"hardware/common/rtl/io/spu_uart_bridge.v",136,4585,0,31,0,0,0
"hardware/common/rtl/io/spu_i2c_bridge.v",322,12033,0,31,0,0,0
"hardware/common/rtl/tb/gpu_pipeline_tb.v",79,2527,0,0,0,0,0
"hardware/common/rtl/tb/spu_whisper_sane.v",79,2553,0,23,0,0,0
"hardware/common/rtl/tb/rotor_compare_tb.v",371,17190,0,63,0,0,0
"hardware/common/rtl/tb/tb_spu_flash_bridge.v",126,5122,0,23,0,0,0
"hardware/common/rtl/tb/tb_spu_janus_mirror.v",148,5390,0,0,0,0,0
"hardware/common/rtl/audio/spu_pdm_audio.v",84,2901,0,19,0,0,0
"hardware/common/rtl/gpu/spu_video_timing.v",45,1377,0,9,0,0,0
"hardware/common/rtl/gpu/spu_edge_stepper.v",54,1972,0,0,0,0,0
"hardware/common/rtl/gpu/spu_raster_unit.v",57,2030,0,0,0,0,0
"hardware/common/rtl/gpu/spu_dual_raster.v",72,2547,0,0,0,0,0
"hardware/common/rtl/gpu/spu_gpu_top.v",91,4132,0,9,0,0,0
"hardware/common/rtl/gpu/spu_bresenham_raster.v",102,3986,0,19,0,0,0
"hardware/common/rtl/gpu/spu_texture_dma.v",67,2341,0,23,0,0,0
"hardware/common/rtl/gpu/rational_sine_rom.v",12,468,1,31,0,0,0
"hardware/common/rtl/gpu/rational_sine_rom_q32.v",14,448,1,63,0,0,0
"hardware/common/rtl/gpu/rational_sine_provider.v",29,970,0,0,0,0,0
"hardware/common/rtl/gpu/rplu_skel.v",80,2878,4,63,0,0,0
"hardware/common/rtl/gpu/injection_gate.v",104,4618,2,1,0,0,0
"hardware/common/rtl/gpu/pade_eval_2_2.v",124,5275,2,3,0,0,0
"hardware/common/rtl/gpu/davis_to_rplu.v",60,2511,0,0,0,0,0
"hardware/common/rtl/gpu/simple_lau.v",51,1686,1,9,0,0,0
"hardware/common/rtl/gpu/laminar_detector.v",125,5164,0,1023,0,0,0
"hardware/common/rtl/gpu/pade_eval_4_4.v",134,4893,2,3,0,0,0
"hardware/common/rtl/gpu/rplu_exp.v",312,12215,11,31,0,0,0
"hardware/common/rtl/hal/HAL_VGA.v",27,728,0,0,0,0,0
"hardware/common/rtl/hal/HAL_HDMI_TMDS.v",86,3350,0,9,0,0,0
"hardware/common/rtl/hal/HAL_HDMI.v",72,3430,0,0,0,0,0
"hardware/common/rtl/primitives/gowin_mult18_sim.v",10,366,0,0,0,0,0
"hardware/common/tests/spu_whisper_tb.v",79,2192,0,15,0,0,0
"hardware/common/tests/spu_cluster_tb.v",88,2710,0,63,0,0,0
"hardware/common/tests/spu_stress_tb.v",96,3043,0,63,0,0,0
"hardware/common/tests/spu_manifest_tb.v",91,2917,0,63,0,0,0
"hardware/common/tests/SB_MAC16_mock.v",29,651,0,31,0,0,0
"hardware/common/tests/spu_sovereign_boot_tb.v",91,2605,0,23,0,0,0
"hardware/common/tests/spu4_autonomy_tb.v",67,2018,0,15,0,0,0
"hardware/common/tests/spu4_sovereign_tb.v",95,2837,0,23,0,0,0
"hardware/common/tests/spu4_psram_tb.v",136,5068,0,23,0,0,0
"hardware/common/tests/spu4_sentinel_tb.v",85,2759,0,0,0,0,0
"hardware/common/tests/spu_handover_tb.v",104,3044,0,31,0,0,0
"hardware/common/tests/spu13_deep_spin_tb.v",128,3794,0,0,0,0,0
"hardware/common/tests/spu_psram_dual_tb.v",163,5839,0,831,0,1,0
"hardware/common/tests/davis_gate_dsp_tb.v",113,4465,0,63,0,0,0
"hardware/common/tests/spu_spread_mul_tb.v",143,7139,0,0,0,0,0
"hardware/common/tests/spu_purify_tb.v",90,2998,0,63,0,0,0
"hardware/common/tests/spu_rotor_vault_tb.v",172,6179,0,15,0,0,0
"hardware/common/tests/spu_unified_alu_tdm_tb.v",181,7651,0,31,0,0,0
"hardware/common/tests/spu_mem_bridge_sdram_tb.v",238,10478,0,831,1,0,0
"hardware/common/tests/spu_4_alu_fold_tb.v",152,6381,0,15,0,0,0
"hardware/common/tests/spu_spi_slave_tb.v",164,5378,0,831,0,0,0
"hardware/common/tests/spu_whisper_bridge_tb.v",110,3535,0,12,0,0,0
"hardware/common/tests/spu_artery_serial_tb.v",135,4105,0,63,0,0,0
"hardware/common/tests/spu_governor_mux_tb.v",160,5624,0,0,0,0,0
"hardware/common/tests/spu_whisper_stress_tb.v",120,4459,0,7,0,0,0
"hardware/common/tests/spu_laminar_power_tb.v",97,3189,0,7,0,0,0
"hardware/common/tests/spu_ve_init_tb.v",102,3092,0,63,0,0,0
"hardware/common/tests/spu_pell_cache_tb.v",89,2872,0,831,0,0,0
"hardware/common/tests/spu_whisper_bridge_v2_tb.v",189,6577,0,831,0,0,0
"hardware/common/tests/spu_bus_arbiter_tb.v",147,5420,0,2,0,0,0
"hardware/common/tests/spu_node_link_tb.v",142,5323,0,23,0,0,0
"hardware/common/tests/spu_mem_bridge_ddr3_tb.v",279,11529,0,831,0,0,0
"hardware/common/tests/spu_triple_quad_tb.v",96,3920,0,31,0,0,0
"hardware/common/tests/spu_triple_spread_tb.v",72,2254,0,15,0,0,0
"hardware/common/tests/spu_fragment_pipe_tb.v",109,3854,0,63,0,0,0
"hardware/common/tests/spu_input_sync_tb.v",61,1656,0,0,0,0,0
"hardware/common/tests/spu_uart_bridge_tb.v",128,3722,0,31,0,0,0
"hardware/common/tests/spu_sensor_bank_tb.v",105,2977,0,31,0,0,0
"hardware/common/tests/spu_pdm_audio_tb.v",102,3132,0,31,0,0,0
"hardware/common/tests/spu_video_timing_tb.v",52,1475,0,0,0,0,0
"hardware/common/tests/spu_raster_tb.v",65,1974,0,0,0,0,0
"hardware/common/tests/spu_bresenham_tb.v",63,1711,0,9,0,0,0
"hardware/common/tests/spu_sdram_arbiter_tb.v",180,5993,0,0,0,0,0
"hardware/common/tests/rational_sine_tb.v",18,546,0,11,0,0,0
"hardware/common/tests/rational_sine_provider_tb.v",60,2274,0,0,1,0,0
"hardware/common/tests/rplu_tb.v",67,2689,4,63,0,0,0
"hardware/common/tests/rplu_exp_tb.v",63,2308,3,63,0,0,0
"hardware/common/tests/injection_gate_tb.v",37,1177,0,9,0,0,0
"hardware/common/tests/davis_to_rplu_tb.v",35,1305,0,63,0,0,0
"hardware/common/tests/simple_lau_tb.v",29,939,0,0,0,0,0
"hardware/common/tests/pade_eval_4_4_tb.v",121,3957,2,63,0,0,0
"hardware/common/tests/laminar_detector_tb.v",88,3451,0,9,0,0,0
"hardware/spu4/rtl/spu4_core.v",152,4906,0,0,0,0,0
"hardware/spu4/rtl/spu_4_satellite.v",36,1381,0,15,0,0,0
"hardware/spu4/rtl/spu_4_euclidean_alu.v",189,7954,0,17,0,0,0
"hardware/spu4/rtl/spu4_decoder.v",46,1868,0,0,0,0,0
"hardware/spu4/rtl/spu4_regfile.v",51,2330,0,63,0,0,0
"hardware/spu4/rtl/spu4_top.v",138,3998,0,63,0,0,0
"hardware/spu4/rtl/spu4_dream_sequencer.v",76,2470,0,15,0,0,0
"hardware/spu4/rtl/spu4_boot_master.v",96,3496,0,23,0,0,0
"hardware/spu4/rtl/spu4_sovereign_bus.v",56,1895,0,22,0,0,0
"hardware/spu4/rtl/spu4_sentinel.v",150,6176,0,31,0,0,0
"hardware/spu4/tests/spu4_precession_tb.v",67,1728,1,23,0,0,0
"hardware/boards/icesugar/smoke/spu_smoke_blinky.v",69,2567,0,22,0,0,0
"hardware/boards/icesugar/smoke/spu_smoke_uart.v",123,4213,0,23,0,0,0
