host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T19:18:47.831,tamiya_75026_v1,elevated_load,12007270,3028,20162,201625,68
2026-09-03T19:18:47.840,tamiya_75026_v1,elevated_load,12007279,3028,20885,208850,65
2026-09-03T19:18:47.853,tamiya_75026_v1,elevated_load,12007291,3028,20287,202875,103
2026-09-03T19:18:47.861,tamiya_75026_v1,elevated_load,12007300,3028,19852,198525,63
2026-09-03T19:18:47.872,tamiya_75026_v1,elevated_load,12007310,3028,22985,229850,72
2026-09-03T19:18:47.882,tamiya_75026_v1,elevated_load,12007320,3026,19957,199575,81
2026-09-03T19:18:47.892,tamiya_75026_v1,elevated_load,12007330,3029,21237,212375,74
2026-09-03T19:18:47.900,tamiya_75026_v1,elevated_load,12007339,3028,21995,219950,65
2026-09-03T19:18:47.911,tamiya_75026_v1,elevated_load,12007350,3025,20002,200025,86
2026-09-03T19:18:47.922,tamiya_75026_v1,elevated_load,12007360,3028,19142,191425,77
2026-09-03T19:18:47.931,tamiya_75026_v1,elevated_load,12007370,3027,21087,210875,68
2026-09-03T19:18:47.941,tamiya_75026_v1,elevated_load,12007380,3025,19522,195225,82
2026-09-03T19:18:47.952,tamiya_75026_v1,elevated_load,12007390,3028,18722,187225,80
2026-09-03T19:18:47.961,tamiya_75026_v1,elevated_load,12007400,3032,20040,200400,69
2026-09-03T19:18:47.971,tamiya_75026_v1,elevated_load,12007410,3031,21142,211425,79
2026-09-03T19:18:47.982,tamiya_75026_v1,elevated_load,12007420,3029,19350,193500,82
2026-09-03T19:18:47.991,tamiya_75026_v1,elevated_load,12007430,3029,19932,199325,69
2026-09-03T19:18:48.001,tamiya_75026_v1,elevated_load,12007440,3029,22270,222700,77
2026-09-03T19:18:48.012,tamiya_75026_v1,elevated_load,12007450,3029,20557,205575,85
2026-09-03T19:18:48.021,tamiya_75026_v1,elevated_load,12007460,3025,19770,197700,70
2026-09-03T19:18:48.031,tamiya_75026_v1,elevated_load,12007469,3027,22332,223325,72
2026-09-03T19:18:48.042,tamiya_75026_v1,elevated_load,12007480,3025,20697,206975,86
2026-09-03T19:18:48.051,tamiya_75026_v1,elevated_load,12007490,3026,19485,194850,67
2026-09-03T19:18:48.060,tamiya_75026_v1,elevated_load,12007499,3026,21612,216125,66
2026-09-03T19:18:48.073,tamiya_75026_v1,elevated_load,12007511,3029,20575,205750,102
2026-09-03T19:18:48.081,tamiya_75026_v1,elevated_load,12007520,3029,19615,196150,62
2026-09-03T19:18:48.092,tamiya_75026_v1,elevated_load,12007530,3028,22717,227175,70
2026-09-03T19:18:48.102,tamiya_75026_v1,elevated_load,12007540,3025,21065,210650,80
2026-09-03T19:18:48.112,tamiya_75026_v1,elevated_load,12007550,3031,20812,208125,75
2026-09-03T19:18:48.121,tamiya_75026_v1,elevated_load,12007559,3026,22140,221400,68
2026-09-03T19:18:48.131,tamiya_75026_v1,elevated_load,12007570,3025,20992,209925,79
2026-09-03T19:18:48.142,tamiya_75026_v1,elevated_load,12007580,3028,20150,201500,81
2026-09-03T19:18:48.151,tamiya_75026_v1,elevated_load,12007590,3026,20537,205375,68
2026-09-03T19:18:48.161,tamiya_75026_v1,elevated_load,12007600,3027,20927,209275,74
2026-09-03T19:18:48.171,tamiya_75026_v1,elevated_load,12007610,3029,19770,197700,85
2026-09-03T19:18:48.181,tamiya_75026_v1,elevated_load,12007620,3025,19335,193350,67
2026-09-03T19:18:48.191,tamiya_75026_v1,elevated_load,12007629,3025,19780,197800,67
2026-09-03T19:18:48.202,tamiya_75026_v1,elevated_load,12007640,3031,21195,211950,90
2026-09-03T19:18:48.211,tamiya_75026_v1,elevated_load,12007650,3027,19682,196825,70
2026-09-03T19:18:48.220,tamiya_75026_v1,elevated_load,12007659,3025,20300,203000,65
2026-09-03T19:18:48.233,tamiya_75026_v1,elevated_load,12007671,3031,19975,199750,100
2026-09-03T19:18:48.241,tamiya_75026_v1,elevated_load,12007680,3028,20700,207000,62
2026-09-03T19:18:48.250,tamiya_75026_v1,elevated_load,12007689,3026,20355,203550,65
2026-09-03T19:18:48.262,tamiya_75026_v1,elevated_load,12007700,3027,22235,222350,87
2026-09-03T19:18:48.272,tamiya_75026_v1,elevated_load,12007710,3028,19937,199375,75
2026-09-03T19:18:48.281,tamiya_75026_v1,elevated_load,12007719,3029,19345,193450,67
2026-09-03T19:18:48.291,tamiya_75026_v1,elevated_load,12007730,3028,20097,200975,83
2026-09-03T19:18:48.302,tamiya_75026_v1,elevated_load,12007741,3029,20275,202750,89
2026-09-03T19:18:48.311,tamiya_75026_v1,elevated_load,12007750,3029,20260,202600,63
2026-09-03T19:18:48.321,tamiya_75026_v1,elevated_load,12007760,3029,21777,217775,78
2026-09-03T19:18:48.332,tamiya_75026_v1,elevated_load,12007770,3028,21432,214325,82
2026-09-03T19:18:48.341,tamiya_75026_v1,elevated_load,12007780,3026,20037,200375,69
2026-09-03T19:18:48.351,tamiya_75026_v1,elevated_load,12007790,3028,22150,221500,74
2026-09-03T19:18:48.362,tamiya_75026_v1,elevated_load,12007800,3025,20697,206975,85
2026-09-03T19:18:48.371,tamiya_75026_v1,elevated_load,12007810,3027,19420,194200,67
2026-09-03T19:18:48.381,tamiya_75026_v1,elevated_load,12007819,3029,21525,215250,67
2026-09-03T19:18:48.392,tamiya_75026_v1,elevated_load,12007830,3029,20450,204500,90
2026-09-03T19:18:48.401,tamiya_75026_v1,elevated_load,12007840,3027,19335,193350,68
2026-09-03T19:18:48.410,tamiya_75026_v1,elevated_load,12007849,3026,20360,203600,65
2026-09-03T19:18:48.423,tamiya_75026_v1,elevated_load,12007861,3028,21965,219650,100
2026-09-03T19:18:48.431,tamiya_75026_v1,elevated_load,12007870,3028,19552,195525,62
2026-09-03T19:18:48.442,tamiya_75026_v1,elevated_load,12007880,3028,21782,217825,70
2026-09-03T19:18:48.452,tamiya_75026_v1,elevated_load,12007890,3028,22037,220375,81
2026-09-03T19:18:48.461,tamiya_75026_v1,elevated_load,12007900,3027,19817,198175,75
2026-09-03T19:18:48.471,tamiya_75026_v1,elevated_load,12007909,3027,21172,211725,68
2026-09-03T19:18:48.481,tamiya_75026_v1,elevated_load,12007920,3025,20895,208950,82
2026-09-03T19:18:48.492,tamiya_75026_v1,elevated_load,12007930,3027,19140,191400,81
2026-09-03T19:18:48.501,tamiya_75026_v1,elevated_load,12007940,3029,20845,208450,68
2026-09-03T19:18:48.511,tamiya_75026_v1,elevated_load,12007950,3031,21727,217275,75
2026-09-03T19:18:48.522,tamiya_75026_v1,elevated_load,12007960,3028,19360,193600,85
2026-09-03T19:18:48.531,tamiya_75026_v1,elevated_load,12007970,3032,19852,198525,68
2026-09-03T19:18:48.541,tamiya_75026_v1,elevated_load,12007979,3027,21952,219525,70
2026-09-03T19:18:48.552,tamiya_75026_v1,elevated_load,12007990,3025,20045,200450,88
2026-09-03T19:18:48.561,tamiya_75026_v1,elevated_load,12008000,3028,21235,212350,69
2026-09-03T19:18:48.570,tamiya_75026_v1,elevated_load,12008009,3027,20837,208375,65
2026-09-03T19:18:48.583,tamiya_75026_v1,elevated_load,12008021,3028,19195,191950,101
2026-09-03T19:18:48.591,tamiya_75026_v1,elevated_load,12008030,3031,20900,209000,62
2026-09-03T19:18:48.600,tamiya_75026_v1,elevated_load,12008039,3027,19612,196125,65
2026-09-03T19:18:48.611,tamiya_75026_v1,elevated_load,12008050,3029,19460,194600,87
2026-09-03T19:18:48.622,tamiya_75026_v1,elevated_load,12008060,3032,20027,200275,76
2026-09-03T19:18:48.631,tamiya_75026_v1,elevated_load,12008069,3028,21655,216550,67
2026-09-03T19:18:48.641,tamiya_75026_v1,elevated_load,12008080,3025,19342,193425,82
2026-09-03T19:18:48.652,tamiya_75026_v1,elevated_load,12008090,3032,21042,210425,80
2026-09-03T19:18:48.661,tamiya_75026_v1,elevated_load,12008100,3029,21332,213325,68
2026-09-03T19:18:48.671,tamiya_75026_v1,elevated_load,12008110,3023,19952,199525,79
2026-09-03T19:18:48.682,tamiya_75026_v1,elevated_load,12008120,3027,18755,187550,81
2026-09-03T19:18:48.691,tamiya_75026_v1,elevated_load,12008130,3032,20662,206625,69
2026-09-03T19:18:48.701,tamiya_75026_v1,elevated_load,12008140,3027,19332,193325,78
2026-09-03T19:18:48.712,tamiya_75026_v1,elevated_load,12008150,3027,18497,184975,82
2026-09-03T19:18:48.721,tamiya_75026_v1,elevated_load,12008160,3031,20602,206025,70
2026-09-03T19:18:48.731,tamiya_75026_v1,elevated_load,12008169,3031,21697,216975,72
2026-09-03T19:18:48.742,tamiya_75026_v1,elevated_load,12008180,3029,19285,192850,87
2026-09-03T19:18:48.751,tamiya_75026_v1,elevated_load,12008190,3029,19805,198050,69
2026-09-03T19:18:48.760,tamiya_75026_v1,elevated_load,12008199,3026,21695,216950,67
2026-09-03T19:18:48.771,tamiya_75026_v1,elevated_load,12008210,3026,20012,200125,91
2026-09-03T19:18:48.781,tamiya_75026_v1,elevated_load,12008220,3028,21285,212850,71
2026-09-03T19:18:48.790,tamiya_75026_v1,elevated_load,12008229,3026,20722,207225,67
2026-09-03T19:18:48.803,tamiya_75026_v1,elevated_load,12008241,3027,18990,189900,100
2026-09-03T19:18:48.811,tamiya_75026_v1,elevated_load,12008250,3029,20705,207050,61
2026-09-03T19:18:48.821,tamiya_75026_v1,elevated_load,12008259,3028,19870,198700,67
2026-09-03T19:18:48.831,tamiya_75026_v1,elevated_load,12008270,3029,19217,192175,89
2026-09-03T19:18:48.842,tamiya_75026_v1,elevated_load,12008280,3031,19245,192450,80
2026-09-03T19:18:48.851,tamiya_75026_v1,elevated_load,12008290,3027,19025,190250,70
2026-09-03T19:18:48.861,tamiya_75026_v1,elevated_load,12008300,3027,19717,197175,84
2026-09-03T19:18:48.872,tamiya_75026_v1,elevated_load,12008310,3029,20545,205450,81
2026-09-03T19:18:48.881,tamiya_75026_v1,elevated_load,12008320,3028,22090,220900,70
2026-09-03T19:18:48.891,tamiya_75026_v1,elevated_load,12008330,3025,20502,205025,77
2026-09-03T19:18:48.902,tamiya_75026_v1,elevated_load,12008340,3032,20127,201275,85
2026-09-03T19:18:48.911,tamiya_75026_v1,elevated_load,12008350,3027,20647,206475,69
2026-09-03T19:18:48.921,tamiya_75026_v1,elevated_load,12008359,3028,21002,210025,71
2026-09-03T19:18:48.932,tamiya_75026_v1,elevated_load,12008370,3031,19595,195950,91
2026-09-03T19:18:48.941,tamiya_75026_v1,elevated_load,12008380,3028,19470,194700,72
2026-09-03T19:18:48.950,tamiya_75026_v1,elevated_load,12008389,3029,19895,198950,67
2026-09-03T19:18:48.963,tamiya_75026_v1,elevated_load,12008401,3032,21890,218900,101
2026-09-03T19:18:48.972,tamiya_75026_v1,elevated_load,12008410,3026,19460,194600,63
2026-09-03T19:18:48.981,tamiya_75026_v1,elevated_load,12008419,3027,22055,220550,67
2026-09-03T19:18:48.991,tamiya_75026_v1,elevated_load,12008430,3026,21380,213800,87
2026-09-03T19:18:49.002,tamiya_75026_v1,elevated_load,12008440,3026,19337,193375,77
2026-09-03T19:18:49.011,tamiya_75026_v1,elevated_load,12008450,3028,21475,214750,68
2026-09-03T19:18:49.021,tamiya_75026_v1,elevated_load,12008460,3025,20610,206100,79
2026-09-03T19:18:49.032,tamiya_75026_v1,elevated_load,12008470,3029,19142,191425,83
2026-09-03T19:18:49.041,tamiya_75026_v1,elevated_load,12008480,3031,20672,206725,70
2026-09-03T19:18:49.051,tamiya_75026_v1,elevated_load,12008489,3032,21847,218475,73
2026-09-03T19:18:49.062,tamiya_75026_v1,elevated_load,12008500,3028,19462,194625,89
2026-09-03T19:18:49.071,tamiya_75026_v1,elevated_load,12008510,3031,20245,202450,72
2026-09-03T19:18:49.080,tamiya_75026_v1,elevated_load,12008519,3026,20940,209400,68
2026-09-03T19:18:49.093,tamiya_75026_v1,elevated_load,12008531,3027,21202,212025,104
2026-09-03T19:18:49.101,tamiya_75026_v1,elevated_load,12008540,3027,21572,215725,64
2026-09-03T19:18:49.112,tamiya_75026_v1,elevated_load,12008550,3025,20625,206250,73
2026-09-03T19:18:49.122,tamiya_75026_v1,elevated_load,12008560,3027,22675,226750,81
2026-09-03T19:18:49.132,tamiya_75026_v1,elevated_load,12008570,3029,20762,207625,75
2026-09-03T19:18:49.141,tamiya_75026_v1,elevated_load,12008579,3026,19375,193750,70
2026-09-03T19:18:49.151,tamiya_75026_v1,elevated_load,12008590,3031,19940,199400,85
2026-09-03T19:18:49.162,tamiya_75026_v1,elevated_load,12008600,3031,20430,204300,80
2026-09-03T19:18:49.171,tamiya_75026_v1,elevated_load,12008610,3031,19252,192525,70
2026-09-03T19:18:49.181,tamiya_75026_v1,elevated_load,12008620,3028,21997,219975,80
2026-09-03T19:18:49.192,tamiya_75026_v1,elevated_load,12008630,3029,21507,215075,84
2026-09-03T19:18:49.201,tamiya_75026_v1,elevated_load,12008640,3025,20462,204625,70
2026-09-03T19:18:49.211,tamiya_75026_v1,elevated_load,12008649,3029,22547,225475,72
2026-09-03T19:18:49.222,tamiya_75026_v1,elevated_load,12008660,3025,20652,206525,88
2026-09-03T19:18:49.231,tamiya_75026_v1,elevated_load,12008670,3026,19087,190875,70
