host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T19:11:47.687,tamiya_75026_v1,elevated_load,11587140,3025,21945,219450,2
2026-09-03T19:11:47.697,tamiya_75026_v1,elevated_load,11587150,3028,22180,221800,2
2026-09-03T19:11:47.707,tamiya_75026_v1,elevated_load,11587160,3027,21785,217850,2
2026-09-03T19:11:47.717,tamiya_75026_v1,elevated_load,11587170,3026,20930,209300,2
2026-09-03T19:11:47.726,tamiya_75026_v1,elevated_load,11587179,3027,21587,215875,2
2026-09-03T19:11:47.737,tamiya_75026_v1,elevated_load,11587190,3026,20865,208650,2
2026-09-03T19:11:47.746,tamiya_75026_v1,elevated_load,11587199,3023,21020,210200,1
2026-09-03T19:11:47.757,tamiya_75026_v1,elevated_load,11587209,3027,20642,206425,3
2026-09-03T19:11:47.766,tamiya_75026_v1,elevated_load,11587219,3025,20202,202025,2
2026-09-03T19:11:47.776,tamiya_75026_v1,elevated_load,11587229,3027,20380,203800,2
2026-09-03T19:11:47.787,tamiya_75026_v1,elevated_load,11587239,3025,19655,196550,4
2026-09-03T19:11:47.796,tamiya_75026_v1,elevated_load,11587249,3025,20942,209425,2
2026-09-03T19:11:47.806,tamiya_75026_v1,elevated_load,11587259,3027,19572,195725,2
2026-09-03T19:11:47.817,tamiya_75026_v1,elevated_load,11587270,3028,21465,214650,2
2026-09-03T19:11:47.826,tamiya_75026_v1,elevated_load,11587279,3026,20330,203300,1
2026-09-03T19:11:47.837,tamiya_75026_v1,elevated_load,11587289,3026,19485,194850,2
2026-09-03T19:11:47.847,tamiya_75026_v1,elevated_load,11587299,3027,20935,209350,1
2026-09-03T19:11:47.857,tamiya_75026_v1,elevated_load,11587309,3025,19402,194025,1
2026-09-03T19:11:47.866,tamiya_75026_v1,elevated_load,11587319,3028,19482,194825,2
2026-09-03T19:11:47.876,tamiya_75026_v1,elevated_load,11587329,3027,20685,206850,1
2026-09-03T19:11:47.887,tamiya_75026_v1,elevated_load,11587340,3027,19340,193400,1
2026-09-03T19:11:47.897,tamiya_75026_v1,elevated_load,11587350,3026,21512,215125,2
2026-09-03T19:11:47.907,tamiya_75026_v1,elevated_load,11587359,3028,20482,204825,1
2026-09-03T19:11:47.917,tamiya_75026_v1,elevated_load,11587369,3026,19550,195500,1
