host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T19:04:59.539,tamiya_75026_v1,elevated_load,11179009,3027,22295,222950,8
2026-09-03T19:04:59.549,tamiya_75026_v1,elevated_load,11179019,3028,21830,218300,7
2026-09-03T19:04:59.560,tamiya_75026_v1,elevated_load,11179030,3023,21022,210225,5
2026-09-03T19:04:59.569,tamiya_75026_v1,elevated_load,11179039,3028,22235,222350,9
2026-09-03T19:04:59.579,tamiya_75026_v1,elevated_load,11179049,3023,21070,210700,9
2026-09-03T19:04:59.590,tamiya_75026_v1,elevated_load,11179060,3023,20920,209200,8
2026-09-03T19:04:59.599,tamiya_75026_v1,elevated_load,11179069,3029,22132,221325,7
2026-09-03T19:04:59.609,tamiya_75026_v1,elevated_load,11179079,3021,21205,212050,5
2026-09-03T19:04:59.619,tamiya_75026_v1,elevated_load,11179089,3023,21015,210150,9
2026-09-03T19:04:59.629,tamiya_75026_v1,elevated_load,11179099,3022,21395,213950,9
2026-09-03T19:04:59.639,tamiya_75026_v1,elevated_load,11179109,3023,21242,212425,6
2026-09-03T19:04:59.649,tamiya_75026_v1,elevated_load,11179119,3023,21412,214125,7
2026-09-03T19:04:59.660,tamiya_75026_v1,elevated_load,11179130,3022,20955,209550,7
2026-09-03T19:04:59.669,tamiya_75026_v1,elevated_load,11179139,3023,21142,211425,3
2026-09-03T19:04:59.679,tamiya_75026_v1,elevated_load,11179149,3027,20395,203950,7
2026-09-03T19:04:59.689,tamiya_75026_v1,elevated_load,11179159,3023,20362,203625,5
2026-09-03T19:04:59.699,tamiya_75026_v1,elevated_load,11179169,3023,21685,216850,8
2026-09-03T19:04:59.709,tamiya_75026_v1,elevated_load,11179179,3026,20435,204350,7
2026-09-03T19:04:59.720,tamiya_75026_v1,elevated_load,11179190,3023,21652,216525,4
2026-09-03T19:04:59.730,tamiya_75026_v1,elevated_load,11179200,3026,21845,218450,9
2026-09-03T19:04:59.739,tamiya_75026_v1,elevated_load,11179209,3026,20517,205175,5
2026-09-03T19:04:59.750,tamiya_75026_v1,elevated_load,11179220,3029,21762,217625,8
2026-09-03T19:04:59.759,tamiya_75026_v1,elevated_load,11179229,3026,21997,219975,5
2026-09-03T19:04:59.769,tamiya_75026_v1,elevated_load,11179239,3026,20745,207450,5
2026-09-03T19:04:59.779,tamiya_75026_v1,elevated_load,11179249,3028,21910,219100,8
2026-09-03T19:04:59.789,tamiya_75026_v1,elevated_load,11179259,3026,22000,220000,6
2026-09-03T19:04:59.800,tamiya_75026_v1,elevated_load,11179270,3028,23150,231500,4
2026-09-03T19:04:59.810,tamiya_75026_v1,elevated_load,11179280,3028,21832,218325,7
2026-09-03T19:04:59.819,tamiya_75026_v1,elevated_load,11179289,3026,21487,214875,5
2026-09-03T19:04:59.830,tamiya_75026_v1,elevated_load,11179300,3027,23832,238325,6
2026-09-03T19:04:59.840,tamiya_75026_v1,elevated_load,11179310,3025,21530,215300,6
2026-09-03T19:04:59.849,tamiya_75026_v1,elevated_load,11179319,3026,22895,228950,4
2026-09-03T19:04:59.860,tamiya_75026_v1,elevated_load,11179330,3025,23095,230950,7
2026-09-03T19:04:59.869,tamiya_75026_v1,elevated_load,11179339,3025,20690,206900,4
2026-09-03T19:04:59.880,tamiya_75026_v1,elevated_load,11179350,3025,22737,227375,4
2026-09-03T19:04:59.889,tamiya_75026_v1,elevated_load,11179359,3023,22335,223350,9
2026-09-03T19:04:59.899,tamiya_75026_v1,elevated_load,11179369,3023,23240,232400,4
2026-09-03T19:04:59.910,tamiya_75026_v1,elevated_load,11179380,3023,22155,221550,4
2026-09-03T19:04:59.920,tamiya_75026_v1,elevated_load,11179390,3028,22157,221575,7
2026-09-03T19:04:59.930,tamiya_75026_v1,elevated_load,11179400,3022,21552,215525,5
2026-09-03T19:04:59.939,tamiya_75026_v1,elevated_load,11179409,3025,22682,226825,4
2026-09-03T19:04:59.949,tamiya_75026_v1,elevated_load,11179419,3023,21167,211675,7
2026-09-03T19:04:59.959,tamiya_75026_v1,elevated_load,11179429,3027,22097,220975,5
2026-09-03T19:04:59.970,tamiya_75026_v1,elevated_load,11179440,3026,23190,231900,5
2026-09-03T19:04:59.979,tamiya_75026_v1,elevated_load,11179449,3023,22600,226000,4
2026-09-03T19:04:59.990,tamiya_75026_v1,elevated_load,11179460,3022,23782,237825,5
2026-09-03T19:04:59.999,tamiya_75026_v1,elevated_load,11179469,3026,23572,235725,4
2026-09-03T19:05:00.009,tamiya_75026_v1,elevated_load,11179479,3023,23370,233700,6
2026-09-03T19:05:00.019,tamiya_75026_v1,elevated_load,11179489,3020,23995,239950,5
2026-09-03T19:05:00.030,tamiya_75026_v1,elevated_load,11179500,3019,23197,231975,6
2026-09-03T19:05:00.040,tamiya_75026_v1,elevated_load,11179510,3020,22190,221900,4
2026-09-03T19:05:00.050,tamiya_75026_v1,elevated_load,11179520,3021,24740,247400,5
2026-09-03T19:05:00.059,tamiya_75026_v1,elevated_load,11179529,3021,23675,236750,6
2026-09-03T19:05:00.069,tamiya_75026_v1,elevated_load,11179539,3023,22762,227625,8
2026-09-03T19:05:00.079,tamiya_75026_v1,elevated_load,11179549,3025,23610,236100,5
2026-09-03T19:05:00.090,tamiya_75026_v1,elevated_load,11179560,3021,23175,231750,3
2026-09-03T19:05:00.099,tamiya_75026_v1,elevated_load,11179569,3021,23100,231000,6
2026-09-03T19:05:00.110,tamiya_75026_v1,elevated_load,11179580,3022,24252,242525,6
2026-09-03T19:05:00.119,tamiya_75026_v1,elevated_load,11179589,3017,24325,243250,4
2026-09-03T19:05:00.129,tamiya_75026_v1,elevated_load,11179599,3025,25067,250675,6
2026-09-03T19:05:00.140,tamiya_75026_v1,elevated_load,11179610,3023,25140,251400,7
2026-09-03T19:05:00.149,tamiya_75026_v1,elevated_load,11179619,3020,23742,237425,4
2026-09-03T19:05:00.159,tamiya_75026_v1,elevated_load,11179629,3021,23947,239475,4
2026-09-03T19:05:00.169,tamiya_75026_v1,elevated_load,11179639,3022,22655,226550,8
2026-09-03T19:05:00.179,tamiya_75026_v1,elevated_load,11179649,3021,23547,235475,5
2026-09-03T19:05:00.189,tamiya_75026_v1,elevated_load,11179659,3022,23645,236450,4
2026-09-03T19:05:00.200,tamiya_75026_v1,elevated_load,11179670,3025,22472,224725,8
2026-09-03T19:05:00.210,tamiya_75026_v1,elevated_load,11179680,3027,23017,230175,4
2026-09-03T19:05:00.219,tamiya_75026_v1,elevated_load,11179689,3026,22590,225900,6
2026-09-03T19:05:00.230,tamiya_75026_v1,elevated_load,11179700,3023,21025,210250,10
2026-09-03T19:05:00.239,tamiya_75026_v1,elevated_load,11179709,3026,22795,227950,6
2026-09-03T19:05:00.250,tamiya_75026_v1,elevated_load,11179720,3026,23775,237750,7
2026-09-03T19:05:00.259,tamiya_75026_v1,elevated_load,11179729,3025,22415,224150,5
2026-09-03T19:05:00.269,tamiya_75026_v1,elevated_load,11179739,3023,23870,238700,4
2026-09-03T19:05:00.280,tamiya_75026_v1,elevated_load,11179750,3021,23160,231600,7
2026-09-03T19:05:00.289,tamiya_75026_v1,elevated_load,11179759,3026,22592,225925,6
2026-09-03T19:05:00.299,tamiya_75026_v1,elevated_load,11179769,3022,22512,225125,3
2026-09-03T19:05:00.309,tamiya_75026_v1,elevated_load,11179779,3023,23580,235800,6
2026-09-03T19:05:00.320,tamiya_75026_v1,elevated_load,11179790,3026,21792,217925,7
2026-09-03T19:05:00.329,tamiya_75026_v1,elevated_load,11179799,3027,23737,237375,5
2026-09-03T19:05:00.339,tamiya_75026_v1,elevated_load,11179809,3022,23182,231825,8
2026-09-03T19:05:00.349,tamiya_75026_v1,elevated_load,11179819,3025,21565,215650,7
2026-09-03T19:05:00.359,tamiya_75026_v1,elevated_load,11179829,3022,21162,211625,4
2026-09-03T19:05:00.369,tamiya_75026_v1,elevated_load,11179839,3022,20652,206525,8
2026-09-03T19:05:00.379,tamiya_75026_v1,elevated_load,11179849,3026,22087,220875,4
2026-09-03T19:05:00.390,tamiya_75026_v1,elevated_load,11179860,3026,22017,220175,5
2026-09-03T19:05:00.400,tamiya_75026_v1,elevated_load,11179870,3026,22532,225325,9
2026-09-03T19:05:00.409,tamiya_75026_v1,elevated_load,11179879,3023,22785,227850,4
2026-09-03T19:05:00.419,tamiya_75026_v1,elevated_load,11179889,3027,24042,240425,5
2026-09-03T19:05:00.429,tamiya_75026_v1,elevated_load,11179899,3027,21467,214675,5
2026-09-03T19:05:00.440,tamiya_75026_v1,elevated_load,11179910,3026,22860,228600,4
2026-09-03T19:05:00.449,tamiya_75026_v1,elevated_load,11179919,3022,22592,225925,4
2026-09-03T19:05:00.460,tamiya_75026_v1,elevated_load,11179930,3026,23000,230000,10
2026-09-03T19:05:00.469,tamiya_75026_v1,elevated_load,11179939,3025,22000,220000,4
2026-09-03T19:05:00.479,tamiya_75026_v1,elevated_load,11179949,3022,21905,219050,7
2026-09-03T19:05:00.489,tamiya_75026_v1,elevated_load,11179959,3022,20590,205900,6
2026-09-03T19:05:00.499,tamiya_75026_v1,elevated_load,11179969,3025,22605,226050,4
2026-09-03T19:05:00.509,tamiya_75026_v1,elevated_load,11179979,3027,22885,228850,7
2026-09-03T19:05:00.519,tamiya_75026_v1,elevated_load,11179989,3027,21420,214200,4
2026-09-03T19:05:00.530,tamiya_75026_v1,elevated_load,11180000,3026,20540,205400,3
2026-09-03T19:05:00.540,tamiya_75026_v1,elevated_load,11180010,3027,22407,224075,7
2026-09-03T19:05:00.550,tamiya_75026_v1,elevated_load,11180020,3029,21950,219500,5
2026-09-03T19:05:00.560,tamiya_75026_v1,elevated_load,11180030,3029,22245,222450,7
2026-09-03T19:05:00.569,tamiya_75026_v1,elevated_load,11180039,3026,22247,222475,4
2026-09-03T19:05:00.579,tamiya_75026_v1,elevated_load,11180049,3026,20772,207725,6
2026-09-03T19:05:00.589,tamiya_75026_v1,elevated_load,11180059,3025,21132,211325,4
2026-09-03T19:05:00.600,tamiya_75026_v1,elevated_load,11180070,3022,20425,204250,8
2026-09-03T19:05:00.610,tamiya_75026_v1,elevated_load,11180080,3020,21865,218650,4
2026-09-03T19:05:00.619,tamiya_75026_v1,elevated_load,11180089,3025,22480,224800,7
2026-09-03T19:05:00.629,tamiya_75026_v1,elevated_load,11180099,3029,22575,225750,5
2026-09-03T19:05:00.640,tamiya_75026_v1,elevated_load,11180110,3026,22842,228425,4
2026-09-03T19:05:00.649,tamiya_75026_v1,elevated_load,11180119,3025,24192,241925,6
2026-09-03T19:05:00.660,tamiya_75026_v1,elevated_load,11180130,3027,23997,239975,4
2026-09-03T19:05:00.670,tamiya_75026_v1,elevated_load,11180140,3022,22672,226725,4
2026-09-03T19:05:00.680,tamiya_75026_v1,elevated_load,11180150,3027,22302,223025,6
2026-09-03T19:05:00.689,tamiya_75026_v1,elevated_load,11180159,3022,21505,215050,5
2026-09-03T19:05:00.700,tamiya_75026_v1,elevated_load,11180170,3022,21882,218825,5
2026-09-03T19:05:00.710,tamiya_75026_v1,elevated_load,11180180,3023,20447,204475,6
2026-09-03T19:05:00.720,tamiya_75026_v1,elevated_load,11180190,3023,20535,205350,4
2026-09-03T19:05:00.729,tamiya_75026_v1,elevated_load,11180199,3026,22907,229075,3
2026-09-03T19:05:00.740,tamiya_75026_v1,elevated_load,11180210,3025,21052,210525,7
2026-09-03T19:05:00.750,tamiya_75026_v1,elevated_load,11180220,3028,21935,219350,4
2026-09-03T19:05:00.759,tamiya_75026_v1,elevated_load,11180229,3026,21520,215200,6
2026-09-03T19:05:00.769,tamiya_75026_v1,elevated_load,11180239,3028,23297,232975,5
2026-09-03T19:05:00.780,tamiya_75026_v1,elevated_load,11180250,3026,24120,241200,4
2026-09-03T19:05:00.789,tamiya_75026_v1,elevated_load,11180259,3026,22110,221100,7
2026-09-03T19:05:00.799,tamiya_75026_v1,elevated_load,11180269,3021,20812,208125,6
2026-09-03T19:05:00.809,tamiya_75026_v1,elevated_load,11180279,3021,22265,222650,4
2026-09-03T19:05:00.819,tamiya_75026_v1,elevated_load,11180289,3027,23350,233500,8
2026-09-03T19:05:00.829,tamiya_75026_v1,elevated_load,11180299,3026,22640,226400,5
2026-09-03T19:05:00.840,tamiya_75026_v1,elevated_load,11180310,3026,23460,234600,4
2026-09-03T19:05:00.849,tamiya_75026_v1,elevated_load,11180319,3021,23192,231925,7
2026-09-03T19:05:00.859,tamiya_75026_v1,elevated_load,11180329,3025,23267,232675,6
2026-09-03T19:05:00.869,tamiya_75026_v1,elevated_load,11180339,3022,22140,221400,5
2026-09-03T19:05:00.879,tamiya_75026_v1,elevated_load,11180349,3025,22310,223100,6
2026-09-03T19:05:00.889,tamiya_75026_v1,elevated_load,11180359,3023,21190,211900,5
2026-09-03T19:05:00.899,tamiya_75026_v1,elevated_load,11180369,3026,24087,240875,4
2026-09-03T19:05:00.909,tamiya_75026_v1,elevated_load,11180379,3027,22960,229600,8
2026-09-03T19:05:00.919,tamiya_75026_v1,elevated_load,11180389,3026,22635,226350,4
2026-09-03T19:05:00.929,tamiya_75026_v1,elevated_load,11180399,3021,22527,225275,4
