host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T20:45:05.958,tamiya_75026_v1,elevated_load,816261,3023,24837,248375,0
2026-09-03T20:45:05.967,tamiya_75026_v1,elevated_load,816270,3021,24632,246325,0
2026-09-03T20:45:05.977,tamiya_75026_v1,elevated_load,816280,3026,25927,259275,0
2026-09-03T20:45:05.987,tamiya_75026_v1,elevated_load,816290,3022,24260,242600,0
2026-09-03T20:45:05.997,tamiya_75026_v1,elevated_load,816300,3020,23037,230375,0
2026-09-03T20:45:06.007,tamiya_75026_v1,elevated_load,816310,3021,24467,244675,0
2026-09-03T20:45:06.017,tamiya_75026_v1,elevated_load,816320,3021,22767,227675,0
2026-09-03T20:45:06.027,tamiya_75026_v1,elevated_load,816330,3022,24100,241000,0
2026-09-03T20:45:06.037,tamiya_75026_v1,elevated_load,816340,3019,22365,223650,0
2026-09-03T20:45:06.047,tamiya_75026_v1,elevated_load,816350,3021,22992,229925,0
2026-09-03T20:45:06.057,tamiya_75026_v1,elevated_load,816360,3020,23245,232450,0
2026-09-03T20:45:06.067,tamiya_75026_v1,elevated_load,816370,3020,22660,226600,0
2026-09-03T20:45:06.077,tamiya_75026_v1,elevated_load,816380,3016,22447,224475,0
2026-09-03T20:45:06.087,tamiya_75026_v1,elevated_load,816390,3020,23810,238100,0
2026-09-03T20:45:06.097,tamiya_75026_v1,elevated_load,816400,3025,24492,244925,0
2026-09-03T20:45:06.107,tamiya_75026_v1,elevated_load,816410,3021,23305,233050,0
2026-09-03T20:45:06.117,tamiya_75026_v1,elevated_load,816420,3025,25760,257600,0
2026-09-03T20:45:06.127,tamiya_75026_v1,elevated_load,816430,3023,24045,240450,0
2026-09-03T20:45:06.137,tamiya_75026_v1,elevated_load,816440,3025,25232,252325,0
2026-09-03T20:45:06.147,tamiya_75026_v1,elevated_load,816450,3021,23622,236225,0
2026-09-03T20:45:06.157,tamiya_75026_v1,elevated_load,816460,3023,25312,253125,0
2026-09-03T20:45:06.167,tamiya_75026_v1,elevated_load,816470,3021,24222,242225,0
2026-09-03T20:45:06.177,tamiya_75026_v1,elevated_load,816480,3023,25005,250050,0
2026-09-03T20:45:06.187,tamiya_75026_v1,elevated_load,816490,3020,24252,242525,0
2026-09-03T20:45:06.197,tamiya_75026_v1,elevated_load,816500,3021,25635,256350,0
2026-09-03T20:45:06.207,tamiya_75026_v1,elevated_load,816510,3020,23587,235875,0
2026-09-03T20:45:06.217,tamiya_75026_v1,elevated_load,816520,3020,23085,230850,0
2026-09-03T20:45:06.227,tamiya_75026_v1,elevated_load,816530,3016,22617,226175,0
2026-09-03T20:45:06.237,tamiya_75026_v1,elevated_load,816540,3021,23637,236375,0
2026-09-03T20:45:06.247,tamiya_75026_v1,elevated_load,816550,3019,23297,232975,0
2026-09-03T20:45:06.257,tamiya_75026_v1,elevated_load,816560,3023,23907,239075,0
2026-09-03T20:45:06.267,tamiya_75026_v1,elevated_load,816570,3023,26212,262125,0
2026-09-03T20:45:06.277,tamiya_75026_v1,elevated_load,816580,3022,25672,256725,0
2026-09-03T20:45:06.287,tamiya_75026_v1,elevated_load,816590,3026,25027,250275,0
2026-09-03T20:45:06.297,tamiya_75026_v1,elevated_load,816600,3025,25245,252450,0
2026-09-03T20:45:06.307,tamiya_75026_v1,elevated_load,816610,3020,24762,247625,0
2026-09-03T20:45:06.317,tamiya_75026_v1,elevated_load,816620,3020,23510,235100,0
2026-09-03T20:45:06.327,tamiya_75026_v1,elevated_load,816630,3021,23972,239725,0
2026-09-03T20:45:06.337,tamiya_75026_v1,elevated_load,816640,3019,22967,229675,0
2026-09-03T20:45:06.347,tamiya_75026_v1,elevated_load,816650,3020,23757,237575,0
2026-09-03T20:45:06.357,tamiya_75026_v1,elevated_load,816660,3021,23100,231000,0
2026-09-03T20:45:06.367,tamiya_75026_v1,elevated_load,816670,3023,24300,243000,0
2026-09-03T20:45:06.377,tamiya_75026_v1,elevated_load,816680,3021,22992,229925,0
2026-09-03T20:45:06.387,tamiya_75026_v1,elevated_load,816690,3023,24720,247200,0
2026-09-03T20:45:06.397,tamiya_75026_v1,elevated_load,816700,3021,23592,235925,0
2026-09-03T20:45:06.407,tamiya_75026_v1,elevated_load,816710,3023,24750,247500,0
2026-09-03T20:45:06.417,tamiya_75026_v1,elevated_load,816720,3022,23712,237125,0
2026-09-03T20:45:06.427,tamiya_75026_v1,elevated_load,816730,3023,26027,260275,0
2026-09-03T20:45:06.437,tamiya_75026_v1,elevated_load,816740,3023,24457,244575,0
2026-09-03T20:45:06.448,tamiya_75026_v1,elevated_load,816751,3025,25140,251400,0
2026-09-03T20:45:06.458,tamiya_75026_v1,elevated_load,816761,3021,24400,244000,0
2026-09-03T20:45:06.468,tamiya_75026_v1,elevated_load,816771,3022,25487,254875,0
2026-09-03T20:45:06.478,tamiya_75026_v1,elevated_load,816781,3022,22372,223725,0
2026-09-03T20:45:06.488,tamiya_75026_v1,elevated_load,816791,3021,23330,233300,0
2026-09-03T20:45:06.497,tamiya_75026_v1,elevated_load,816801,3020,23010,230100,0
2026-09-03T20:45:06.508,tamiya_75026_v1,elevated_load,816811,3021,25967,259675,0
2026-09-03T20:45:06.518,tamiya_75026_v1,elevated_load,816821,3022,24575,245750,0
2026-09-03T20:45:06.528,tamiya_75026_v1,elevated_load,816830,3022,24995,249950,0
2026-09-03T20:45:06.537,tamiya_75026_v1,elevated_load,816840,3017,23425,234250,0
2026-09-03T20:45:06.547,tamiya_75026_v1,elevated_load,816850,3019,23992,239925,0
2026-09-03T20:45:06.557,tamiya_75026_v1,elevated_load,816860,3021,23290,232900,0
2026-09-03T20:45:06.567,tamiya_75026_v1,elevated_load,816870,3021,22925,229250,0
2026-09-03T20:45:06.577,tamiya_75026_v1,elevated_load,816880,3023,23205,232050,0
2026-09-03T20:45:06.588,tamiya_75026_v1,elevated_load,816891,3019,22637,226375,0
2026-09-03T20:45:06.597,tamiya_75026_v1,elevated_load,816900,3023,24687,246875,0
2026-09-03T20:45:06.607,tamiya_75026_v1,elevated_load,816910,3025,24867,248675,0
2026-09-03T20:45:06.617,tamiya_75026_v1,elevated_load,816920,3023,25185,251850,0
2026-09-03T20:45:06.627,tamiya_75026_v1,elevated_load,816930,3021,25127,251275,0
2026-09-03T20:45:06.637,tamiya_75026_v1,elevated_load,816940,3019,23030,230300,0
2026-09-03T20:45:06.648,tamiya_75026_v1,elevated_load,816951,3019,24077,240775,0
2026-09-03T20:45:06.658,tamiya_75026_v1,elevated_load,816961,3019,22922,229225,0
2026-09-03T20:45:06.668,tamiya_75026_v1,elevated_load,816971,3019,23327,233275,0
2026-09-03T20:45:06.678,tamiya_75026_v1,elevated_load,816981,3022,25145,251450,0
2026-09-03T20:45:06.688,tamiya_75026_v1,elevated_load,816991,3021,23905,239050,0
2026-09-03T20:45:06.698,tamiya_75026_v1,elevated_load,817001,3023,25430,254300,0
2026-09-03T20:45:06.708,tamiya_75026_v1,elevated_load,817011,3020,25255,252550,0
2026-09-03T20:45:06.718,tamiya_75026_v1,elevated_load,817020,3022,25325,253250,0
2026-09-03T20:45:06.727,tamiya_75026_v1,elevated_load,817030,3020,23725,237250,0
2026-09-03T20:45:06.737,tamiya_75026_v1,elevated_load,817040,3022,24627,246275,0
2026-09-03T20:45:06.747,tamiya_75026_v1,elevated_load,817050,3021,23262,232625,0
2026-09-03T20:45:06.757,tamiya_75026_v1,elevated_load,817060,3022,24160,241600,0
2026-09-03T20:45:06.767,tamiya_75026_v1,elevated_load,817070,3020,22780,227800,0
2026-09-03T20:45:06.778,tamiya_75026_v1,elevated_load,817081,3022,24285,242850,0
2026-09-03T20:45:06.787,tamiya_75026_v1,elevated_load,817090,3022,23790,237900,0
2026-09-03T20:45:06.797,tamiya_75026_v1,elevated_load,817100,3023,26175,261750,0
2026-09-03T20:45:06.807,tamiya_75026_v1,elevated_load,817110,3022,24535,245350,0
2026-09-03T20:45:06.817,tamiya_75026_v1,elevated_load,817120,3025,25167,251675,0
2026-09-03T20:45:06.827,tamiya_75026_v1,elevated_load,817130,3019,23425,234250,0
2026-09-03T20:45:06.837,tamiya_75026_v1,elevated_load,817140,3020,24755,247550,0
2026-09-03T20:45:06.848,tamiya_75026_v1,elevated_load,817151,3020,23657,236575,0
2026-09-03T20:45:06.858,tamiya_75026_v1,elevated_load,817161,3019,23707,237075,0
2026-09-03T20:45:06.868,tamiya_75026_v1,elevated_load,817171,3019,23322,233225,0
2026-09-03T20:45:06.878,tamiya_75026_v1,elevated_load,817181,3022,25582,255825,0
2026-09-03T20:45:06.888,tamiya_75026_v1,elevated_load,817191,3023,23950,239500,0
2026-09-03T20:45:06.898,tamiya_75026_v1,elevated_load,817201,3023,25272,252725,0
2026-09-03T20:45:06.908,tamiya_75026_v1,elevated_load,817211,3021,23972,239725,0
2026-09-03T20:45:06.918,tamiya_75026_v1,elevated_load,817221,3023,25170,251700,0
2026-09-03T20:45:06.928,tamiya_75026_v1,elevated_load,817230,3020,23752,237525,0
2026-09-03T20:45:06.937,tamiya_75026_v1,elevated_load,817240,3023,24825,248250,0
2026-09-03T20:45:06.947,tamiya_75026_v1,elevated_load,817250,3020,23502,235025,0
2026-09-03T20:45:06.957,tamiya_75026_v1,elevated_load,817260,3021,23657,236575,0
2026-09-03T20:45:06.967,tamiya_75026_v1,elevated_load,817270,3020,22565,225650,0
2026-09-03T20:45:06.978,tamiya_75026_v1,elevated_load,817281,3021,23697,236975,0
2026-09-03T20:45:06.987,tamiya_75026_v1,elevated_load,817290,3021,22952,229525,0
2026-09-03T20:45:06.997,tamiya_75026_v1,elevated_load,817300,3025,25432,254325,0
2026-09-03T20:45:07.007,tamiya_75026_v1,elevated_load,817310,3023,24905,249050,0
2026-09-03T20:45:07.018,tamiya_75026_v1,elevated_load,817321,3025,25207,252075,0
2026-09-03T20:45:07.028,tamiya_75026_v1,elevated_load,817331,3021,24362,243625,0
2026-09-03T20:45:07.038,tamiya_75026_v1,elevated_load,817341,3021,25405,254050,0
2026-09-03T20:45:07.048,tamiya_75026_v1,elevated_load,817351,3019,23880,238800,0
2026-09-03T20:45:07.058,tamiya_75026_v1,elevated_load,817361,3020,24050,240500,0
2026-09-03T20:45:07.068,tamiya_75026_v1,elevated_load,817371,3019,23397,233975,0
2026-09-03T20:45:07.078,tamiya_75026_v1,elevated_load,817381,3022,25735,257350,0
2026-09-03T20:45:07.088,tamiya_75026_v1,elevated_load,817391,3023,24307,243075,0
2026-09-03T20:45:07.097,tamiya_75026_v1,elevated_load,817400,3022,25550,255500,0
2026-09-03T20:45:07.107,tamiya_75026_v1,elevated_load,817410,3022,24900,249000,0
2026-09-03T20:45:07.117,tamiya_75026_v1,elevated_load,817420,3021,25207,252075,0
2026-09-03T20:45:07.127,tamiya_75026_v1,elevated_load,817430,3019,23685,236850,0
2026-09-03T20:45:07.137,tamiya_75026_v1,elevated_load,817440,3020,23970,239700,0
2026-09-03T20:45:07.147,tamiya_75026_v1,elevated_load,817450,3020,23302,233025,0
