host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T20:58:08.433,tamiya_75026_v1,elevated_load,1598750,3043,14025,140250,0
2026-09-03T20:58:08.443,tamiya_75026_v1,elevated_load,1598760,3040,12615,126150,0
2026-09-03T20:58:08.452,tamiya_75026_v1,elevated_load,1598770,3040,13230,132300,0
2026-09-03T20:58:08.462,tamiya_75026_v1,elevated_load,1598780,3041,14635,146350,0
2026-09-03T20:58:08.473,tamiya_75026_v1,elevated_load,1598791,3037,13062,130625,0
2026-09-03T20:58:08.482,tamiya_75026_v1,elevated_load,1598800,3041,14425,144250,0
2026-09-03T20:58:08.492,tamiya_75026_v1,elevated_load,1598810,3045,15112,151125,0
2026-09-03T20:58:08.503,tamiya_75026_v1,elevated_load,1598821,3032,10557,105575,0
2026-09-03T20:58:08.513,tamiya_75026_v1,elevated_load,1598831,3041,13347,133475,0
2026-09-03T20:58:08.523,tamiya_75026_v1,elevated_load,1598841,3039,12435,124350,0
2026-09-03T20:58:08.533,tamiya_75026_v1,elevated_load,1598851,3044,13482,134825,0
2026-09-03T20:58:08.543,tamiya_75026_v1,elevated_load,1598860,3047,14682,146825,0
2026-09-03T20:58:08.553,tamiya_75026_v1,elevated_load,1598870,3035,11625,116250,0
2026-09-03T20:58:08.563,tamiya_75026_v1,elevated_load,1598880,3045,14142,141425,0
2026-09-03T20:58:08.573,tamiya_75026_v1,elevated_load,1598890,3037,12562,125625,1
2026-09-03T20:58:08.583,tamiya_75026_v1,elevated_load,1598900,3043,14700,147000,3
2026-09-03T20:58:08.593,tamiya_75026_v1,elevated_load,1598910,3044,15205,152050,1
2026-09-03T20:58:08.604,tamiya_75026_v1,elevated_load,1598921,3033,10727,107275,2
2026-09-03T20:58:08.613,tamiya_75026_v1,elevated_load,1598930,3047,13360,133600,1
2026-09-03T20:58:08.624,tamiya_75026_v1,elevated_load,1598941,3044,13095,130950,2
2026-09-03T20:58:08.633,tamiya_75026_v1,elevated_load,1598951,3038,11502,115025,1
2026-09-03T20:58:08.643,tamiya_75026_v1,elevated_load,1598961,3045,14250,142500,2
2026-09-03T20:58:08.653,tamiya_75026_v1,elevated_load,1598971,3035,12225,122250,1
2026-09-03T20:58:08.663,tamiya_75026_v1,elevated_load,1598981,3035,11032,110325,2
2026-09-03T20:58:08.673,tamiya_75026_v1,elevated_load,1598991,3045,14750,147500,1
2026-09-03T20:58:08.683,tamiya_75026_v1,elevated_load,1599001,3034,12377,123775,3
2026-09-03T20:58:08.692,tamiya_75026_v1,elevated_load,1599010,3040,12937,129375,2
2026-09-03T20:58:08.703,tamiya_75026_v1,elevated_load,1599020,3043,13135,131350,4
2026-09-03T20:58:08.713,tamiya_75026_v1,elevated_load,1599030,3033,11307,113075,2
2026-09-03T20:58:08.723,tamiya_75026_v1,elevated_load,1599040,3047,13970,139700,2
2026-09-03T20:58:08.733,tamiya_75026_v1,elevated_load,1599050,3037,11430,114300,1
2026-09-03T20:58:08.744,tamiya_75026_v1,elevated_load,1599061,3049,14627,146275,2
2026-09-03T20:58:08.753,tamiya_75026_v1,elevated_load,1599071,3035,10792,107925,1
2026-09-03T20:58:08.763,tamiya_75026_v1,elevated_load,1599080,3046,13565,135650,4
2026-09-03T20:58:08.773,tamiya_75026_v1,elevated_load,1599090,3037,11192,111925,2
2026-09-03T20:58:08.783,tamiya_75026_v1,elevated_load,1599100,3049,14942,149425,2
2026-09-03T20:58:08.793,tamiya_75026_v1,elevated_load,1599110,3038,11807,118075,2
2026-09-03T20:58:08.803,tamiya_75026_v1,elevated_load,1599121,3050,11915,119150,0
2026-09-03T20:58:08.812,tamiya_75026_v1,elevated_load,1599130,3039,11360,113600,0
2026-09-03T20:58:08.823,tamiya_75026_v1,elevated_load,1599141,3049,13835,138350,0
2026-09-03T20:58:08.833,tamiya_75026_v1,elevated_load,1599151,3035,9702,97025,0
2026-09-03T20:58:08.843,tamiya_75026_v1,elevated_load,1599161,3049,13570,135700,0
2026-09-03T20:58:08.853,tamiya_75026_v1,elevated_load,1599171,3038,10937,109375,0
2026-09-03T20:58:08.863,tamiya_75026_v1,elevated_load,1599180,3045,12902,129025,0
2026-09-03T20:58:08.873,tamiya_75026_v1,elevated_load,1599190,3043,11925,119250,0
2026-09-03T20:58:08.883,tamiya_75026_v1,elevated_load,1599200,3039,11757,117575,0
2026-09-03T20:58:08.893,tamiya_75026_v1,elevated_load,1599210,3051,13187,131875,0
2026-09-03T20:58:08.903,tamiya_75026_v1,elevated_load,1599220,3039,10302,103025,0
2026-09-03T20:58:08.913,tamiya_75026_v1,elevated_load,1599230,3045,12080,120800,0
2026-09-03T20:58:08.923,tamiya_75026_v1,elevated_load,1599240,3046,12792,127925,0
2026-09-03T20:58:08.933,tamiya_75026_v1,elevated_load,1599251,3037,9562,95625,0
2026-09-03T20:58:08.942,tamiya_75026_v1,elevated_load,1599260,3045,12980,129800,0
2026-09-03T20:58:08.952,tamiya_75026_v1,elevated_load,1599270,3046,11992,119925,0
2026-09-03T20:58:08.963,tamiya_75026_v1,elevated_load,1599281,3035,9057,90575,0
2026-09-03T20:58:08.973,tamiya_75026_v1,elevated_load,1599291,3046,12447,124475,0
2026-09-03T20:58:08.983,tamiya_75026_v1,elevated_load,1599301,3044,10655,106550,0
2026-09-03T20:58:08.993,tamiya_75026_v1,elevated_load,1599311,3037,9527,95275,0
2026-09-03T20:58:09.003,tamiya_75026_v1,elevated_load,1599320,3045,13225,132250,0
2026-09-03T20:58:09.013,tamiya_75026_v1,elevated_load,1599330,3041,11295,112950,0
2026-09-03T20:58:09.023,tamiya_75026_v1,elevated_load,1599340,3038,10207,102075,0
2026-09-03T20:58:09.033,tamiya_75026_v1,elevated_load,1599350,3045,13287,132875,0
2026-09-03T20:58:09.043,tamiya_75026_v1,elevated_load,1599360,3035,9057,90575,0
2026-09-03T20:58:09.053,tamiya_75026_v1,elevated_load,1599370,3046,12707,127075,0
2026-09-03T20:58:09.063,tamiya_75026_v1,elevated_load,1599381,3037,10005,100050,0
2026-09-03T20:58:09.073,tamiya_75026_v1,elevated_load,1599390,3041,12727,127275,0
2026-09-03T20:58:09.083,tamiya_75026_v1,elevated_load,1599401,3034,10620,106200,0
2026-09-03T20:58:09.093,tamiya_75026_v1,elevated_load,1599411,3043,13077,130775,0
2026-09-03T20:58:09.103,tamiya_75026_v1,elevated_load,1599421,3035,11055,110550,0
2026-09-03T20:58:09.113,tamiya_75026_v1,elevated_load,1599431,3044,13542,135425,0
2026-09-03T20:58:09.123,tamiya_75026_v1,elevated_load,1599440,3043,12432,124325,0
2026-09-03T20:58:09.133,tamiya_75026_v1,elevated_load,1599450,3045,12740,127400,0
2026-09-03T20:58:09.143,tamiya_75026_v1,elevated_load,1599460,3045,12690,126900,0
2026-09-03T20:58:09.153,tamiya_75026_v1,elevated_load,1599470,3034,13245,132450,0
2026-09-03T20:58:09.163,tamiya_75026_v1,elevated_load,1599480,3041,12422,124225,0
2026-09-03T20:58:09.172,tamiya_75026_v1,elevated_load,1599490,3037,12157,121575,0
2026-09-03T20:58:09.182,tamiya_75026_v1,elevated_load,1599500,3038,12162,121625,0
2026-09-03T20:58:09.192,tamiya_75026_v1,elevated_load,1599510,3041,12862,128625,0
2026-09-03T20:58:09.203,tamiya_75026_v1,elevated_load,1599521,3033,11352,113525,0
2026-09-03T20:58:09.213,tamiya_75026_v1,elevated_load,1599531,3045,13050,130500,0
2026-09-03T20:58:09.223,tamiya_75026_v1,elevated_load,1599541,3043,12350,123500,0
2026-09-03T20:58:09.233,tamiya_75026_v1,elevated_load,1599551,3049,13850,138500,0
2026-09-03T20:58:09.243,tamiya_75026_v1,elevated_load,1599561,3040,11675,116750,0
2026-09-03T20:58:09.253,tamiya_75026_v1,elevated_load,1599570,3049,13697,136975,0
2026-09-03T20:58:09.263,tamiya_75026_v1,elevated_load,1599580,3038,11782,117825,0
2026-09-03T20:58:09.273,tamiya_75026_v1,elevated_load,1599590,3043,12635,126350,0
2026-09-03T20:58:09.283,tamiya_75026_v1,elevated_load,1599600,3037,11370,113700,0
2026-09-03T20:58:09.293,tamiya_75026_v1,elevated_load,1599610,3043,12102,121025,0
2026-09-03T20:58:09.304,tamiya_75026_v1,elevated_load,1599621,3038,10007,100075,0
2026-09-03T20:58:09.313,tamiya_75026_v1,elevated_load,1599631,3039,12335,123350,0
2026-09-03T20:58:09.322,tamiya_75026_v1,elevated_load,1599640,3044,13007,130075,0
2026-09-03T20:58:09.332,tamiya_75026_v1,elevated_load,1599650,3039,11902,119025,0
2026-09-03T20:58:09.343,tamiya_75026_v1,elevated_load,1599661,3044,13572,135725,0
2026-09-03T20:58:09.353,tamiya_75026_v1,elevated_load,1599671,3041,12447,124475,0
2026-09-03T20:58:09.363,tamiya_75026_v1,elevated_load,1599681,3046,13937,139375,0
2026-09-03T20:58:09.373,tamiya_75026_v1,elevated_load,1599691,3034,12565,125650,0
2026-09-03T20:58:09.383,tamiya_75026_v1,elevated_load,1599701,3050,13470,134700,2
2026-09-03T20:58:09.393,tamiya_75026_v1,elevated_load,1599711,3034,9887,98875,2
