host_iso,probe,phase,t_ms,bus_mV,shunt_uV,current_uA,pulses
2026-09-03T20:45:29.097,tamiya_75026_v1,current_limited_stall,839400,664,24302,243025,0
2026-09-03T20:45:29.107,tamiya_75026_v1,current_limited_stall,839410,666,24295,242950,0
2026-09-03T20:45:29.117,tamiya_75026_v1,current_limited_stall,839420,668,24315,243150,0
2026-09-03T20:45:29.128,tamiya_75026_v1,current_limited_stall,839431,665,24287,242875,0
2026-09-03T20:45:29.137,tamiya_75026_v1,current_limited_stall,839440,666,24307,243075,0
2026-09-03T20:45:29.147,tamiya_75026_v1,current_limited_stall,839450,665,24275,242750,0
2026-09-03T20:45:29.157,tamiya_75026_v1,current_limited_stall,839460,670,24307,243075,0
2026-09-03T20:45:29.167,tamiya_75026_v1,current_limited_stall,839470,669,24272,242725,0
2026-09-03T20:45:29.177,tamiya_75026_v1,current_limited_stall,839480,672,24320,243200,0
2026-09-03T20:45:29.187,tamiya_75026_v1,current_limited_stall,839490,672,24300,243000,0
2026-09-03T20:45:29.198,tamiya_75026_v1,current_limited_stall,839501,668,24285,242850,0
2026-09-03T20:45:29.207,tamiya_75026_v1,current_limited_stall,839510,669,24285,242850,0
2026-09-03T20:45:29.217,tamiya_75026_v1,current_limited_stall,839520,670,24310,243100,0
2026-09-03T20:45:29.227,tamiya_75026_v1,current_limited_stall,839530,668,24285,242850,0
2026-09-03T20:45:29.237,tamiya_75026_v1,current_limited_stall,839540,668,24315,243150,0
2026-09-03T20:45:29.247,tamiya_75026_v1,current_limited_stall,839550,668,24277,242775,0
2026-09-03T20:45:29.257,tamiya_75026_v1,current_limited_stall,839560,669,24290,242900,0
2026-09-03T20:45:29.268,tamiya_75026_v1,current_limited_stall,839571,668,24282,242825,0
2026-09-03T20:45:29.277,tamiya_75026_v1,current_limited_stall,839580,674,24315,243150,0
2026-09-03T20:45:29.287,tamiya_75026_v1,current_limited_stall,839590,671,24267,242675,0
2026-09-03T20:45:29.297,tamiya_75026_v1,current_limited_stall,839600,671,24300,243000,0
2026-09-03T20:45:29.307,tamiya_75026_v1,current_limited_stall,839610,670,24265,242650,0
2026-09-03T20:45:29.317,tamiya_75026_v1,current_limited_stall,839620,672,24307,243075,0
2026-09-03T20:45:29.328,tamiya_75026_v1,current_limited_stall,839631,674,24292,242925,0
2026-09-03T20:45:29.337,tamiya_75026_v1,current_limited_stall,839640,674,24300,243000,0
2026-09-03T20:45:29.347,tamiya_75026_v1,current_limited_stall,839650,671,24290,242900,0
2026-09-03T20:45:29.357,tamiya_75026_v1,current_limited_stall,839660,674,24302,243025,0
2026-09-03T20:45:29.367,tamiya_75026_v1,current_limited_stall,839670,671,24262,242625,0
2026-09-03T20:45:29.377,tamiya_75026_v1,current_limited_stall,839680,674,24297,242975,0
2026-09-03T20:45:29.387,tamiya_75026_v1,current_limited_stall,839690,672,24287,242875,0
2026-09-03T20:45:29.397,tamiya_75026_v1,current_limited_stall,839700,674,24300,243000,0
2026-09-03T20:45:29.408,tamiya_75026_v1,current_limited_stall,839711,675,24270,242700,0
2026-09-03T20:45:29.417,tamiya_75026_v1,current_limited_stall,839720,677,24325,243250,0
2026-09-03T20:45:29.427,tamiya_75026_v1,current_limited_stall,839730,675,24290,242900,0
2026-09-03T20:45:29.437,tamiya_75026_v1,current_limited_stall,839740,675,24305,243050,0
2026-09-03T20:45:29.447,tamiya_75026_v1,current_limited_stall,839750,672,24297,242975,0
2026-09-03T20:45:29.457,tamiya_75026_v1,current_limited_stall,839760,674,24310,243100,0
2026-09-03T20:45:29.468,tamiya_75026_v1,current_limited_stall,839771,672,24295,242950,0
2026-09-03T20:45:29.477,tamiya_75026_v1,current_limited_stall,839780,672,24300,243000,0
